# logM_lo logM_hi N Mave
1.287718493916817941e+01 1.308332569220977071e+01 1.985160000000000000e+05 9.426329876181000000e+12
1.308332569220977071e+01 1.328946644525136200e+01 1.110740000000000000e+05 1.513293587158100000e+13
1.328946644525136200e+01 1.349560719829295152e+01 5.930600000000000000e+04 2.431638255825700000e+13
1.349560719829295152e+01 1.370174795133454282e+01 2.955400000000000000e+04 3.889571431955000000e+13
1.370174795133454282e+01 1.390788870437613411e+01 1.314900000000000000e+04 6.232180971937000000e+13
1.390788870437613411e+01 1.411402945741772541e+01 5.379000000000000000e+03 9.937040211935300000e+13
1.411402945741772541e+01 1.432017021045931671e+01 1.742000000000000000e+03 1.584344144661300000e+14
1.432017021045931671e+01 1.452631096350090800e+01 4.710000000000000000e+02 2.543566029723990000e+14
1.452631096350090800e+01 1.473245171654249930e+01 1.020000000000000000e+02 4.025002941176470000e+14
1.473245171654249930e+01 1.493859246958409059e+01 1.500000000000000000e+01 6.316333333333330000e+14
1.493859246958409059e+01 1.514473322262568011e+01 2.000000000000000000e+00 1.102365000000000000e+15
