# logM_lo logM_hi N Mave
1.289929913088384339e+01 1.310433417433965175e+01 1.681580119794060593e+05 9.885623353548000000e+12
1.310433417433965175e+01 1.330936921779545834e+01 8.867036954434095242e+04 1.583888215295500000e+13
1.330936921779545834e+01 1.351440426125126670e+01 4.460391712485165772e+04 2.537413513942000000e+13
1.351440426125126670e+01 1.371943930470707507e+01 2.038713920836792749e+04 4.042192732931500000e+13
1.371943930470707507e+01 1.392447434816288165e+01 8.351218996289397182e+03 6.465089446450000000e+13
1.392447434816288165e+01 1.412950939161869002e+01 2.947140526799763393e+03 1.026997606401080000e+14
1.412950939161869002e+01 1.433454443507449838e+01 9.412587273502954304e+02 1.630168370607020000e+14
1.433454443507449838e+01 1.453957947853030674e+01 1.782990638748156869e+02 2.580422471910110000e+14
1.453957947853030674e+01 1.474461452198611333e+01 2.202452353835013099e+01 4.364286363636360000e+14
1.474461452198611333e+01 1.494964956544192169e+01 2.001732703645556111e+00 6.027550000000000000e+14
