# logM_lo logM_hi N Mave
1.283228116024704057e+01 1.304066710223468917e+01 2.188880000000000000e+05 8.538459018310000000e+12
1.304066710223468917e+01 1.324905304422233598e+01 1.243490000000000000e+05 1.378754986369000000e+13
1.324905304422233598e+01 1.345743898620998458e+01 6.817700000000000000e+04 2.222015286680200000e+13
1.345743898620998458e+01 1.366582492819763317e+01 3.547700000000000000e+04 3.576659024156400000e+13
1.366582492819763317e+01 1.387421087018527999e+01 1.696000000000000000e+04 5.755726509433900000e+13
1.387421087018527999e+01 1.408259681217292858e+01 7.050000000000000000e+03 9.251351148936100000e+13
1.408259681217292858e+01 1.429098275416057717e+01 2.601000000000000000e+03 1.479942714340630000e+14
1.429098275416057717e+01 1.449936869614822399e+01 8.340000000000000000e+02 2.397364868105510000e+14
1.449936869614822399e+01 1.470775463813587258e+01 2.100000000000000000e+02 3.741688095238090000e+14
1.470775463813587258e+01 1.491614058012352118e+01 3.200000000000000000e+01 6.034968750000000000e+14
1.491614058012352118e+01 1.512452652211116799e+01 4.000000000000000000e+00 1.045895000000000000e+15
