# logM_lo logM_hi N Mave
1.283040526587273078e+01 1.303888500257909477e+01 2.769870000000000000e+05 8.512704666645000000e+12
1.303888500257909477e+01 1.324736473928545699e+01 1.689370000000000000e+05 1.377983574350200000e+13
1.324736473928545699e+01 1.345584447599182099e+01 1.018900000000000000e+05 2.222221833349600000e+13
1.345584447599182099e+01 1.366432421269818498e+01 5.883200000000000000e+04 3.585514718180500000e+13
1.366432421269818498e+01 1.387280394940454897e+01 3.232000000000000000e+04 5.780206977103900000e+13
1.387280394940454897e+01 1.408128368611091119e+01 1.649800000000000000e+04 9.293655843132500000e+13
1.408128368611091119e+01 1.428976342281727518e+01 7.764000000000000000e+03 1.496993753219980000e+14
1.428976342281727518e+01 1.449824315952363918e+01 3.220000000000000000e+03 2.402977298136640000e+14
1.449824315952363918e+01 1.470672289623000140e+01 1.087000000000000000e+03 3.869007543698250000e+14
1.470672289623000140e+01 1.491520263293636539e+01 3.260000000000000000e+02 6.186788957055210000e+14
1.491520263293636539e+01 1.512368236964272938e+01 6.700000000000000000e+01 9.820767164179100000e+14
1.512368236964272938e+01 1.533216210634909160e+01 4.000000000000000000e+00 1.473425000000000000e+15
