# logM_lo logM_hi N Mave
1.283040526587273078e+01 1.303888500257909477e+01 2.610800000000000000e+05 8.509517235713000000e+12
1.303888500257909477e+01 1.324736473928545699e+01 1.565780000000000000e+05 1.376171871527200000e+13
1.324736473928545699e+01 1.345584447599182099e+01 9.128300000000000000e+04 2.219381377693500000e+13
1.345584447599182099e+01 1.366432421269818498e+01 5.160300000000000000e+04 3.576889270003600000e+13
1.366432421269818498e+01 1.387280394940454897e+01 2.683500000000000000e+04 5.771739575181600000e+13
1.387280394940454897e+01 1.408128368611091119e+01 1.310500000000000000e+04 9.293175238458600000e+13
1.408128368611091119e+01 1.428976342281727518e+01 5.679000000000000000e+03 1.490336995949990000e+14
1.428976342281727518e+01 1.449824315952363918e+01 2.160000000000000000e+03 2.397621481481480000e+14
1.449824315952363918e+01 1.470672289623000140e+01 6.810000000000000000e+02 3.804532452276060000e+14
1.470672289623000140e+01 1.491520263293636539e+01 1.710000000000000000e+02 6.023415204678360000e+14
1.491520263293636539e+01 1.512368236964272938e+01 2.400000000000000000e+01 9.223004166666660000e+14
