# logM_lo logM_hi N Mave
1.281178988923146811e+01 1.302120039476989533e+01 2.807480000000000000e+05 8.161625746577000000e+12
1.302120039476989533e+01 1.323061090030832077e+01 1.743560000000000000e+05 1.321665172979400000e+13
1.323061090030832077e+01 1.344002140584674798e+01 1.049900000000000000e+05 2.139431272502100000e+13
1.344002140584674798e+01 1.364943191138517520e+01 6.118800000000000000e+04 3.462219688501000000e+13
1.364943191138517520e+01 1.385884241692360064e+01 3.407100000000000000e+04 5.593705115787600000e+13
1.385884241692360064e+01 1.406825292246202785e+01 1.798800000000000000e+04 9.033953391149600000e+13
1.406825292246202785e+01 1.427766342800045507e+01 8.750000000000000000e+03 1.456188594285710000e+14
1.427766342800045507e+01 1.448707393353888051e+01 3.819000000000000000e+03 2.351674391201880000e+14
1.448707393353888051e+01 1.469648443907730773e+01 1.456000000000000000e+03 3.758274793956040000e+14
1.469648443907730773e+01 1.490589494461573494e+01 4.710000000000000000e+02 6.035093418259020000e+14
1.490589494461573494e+01 1.511530545015416038e+01 8.700000000000000000e+01 9.551887356321830000e+14
1.511530545015416038e+01 1.532471595569258760e+01 6.000000000000000000e+00 1.433683333333333000e+15
1.532471595569258760e+01 1.553412646123101482e+01 1.000000000000000000e+00 2.123700000000000000e+15
