# logM_lo logM_hi N Mave
1.285760631131014620e+01 1.306472599574463800e+01 3.224363025172057678e+05 9.071013127634000000e+12
1.306472599574463800e+01 1.327184568017913158e+01 2.076906309628413874e+05 1.462139125482900000e+13
1.327184568017913158e+01 1.347896536461362516e+01 1.334157225917629257e+05 2.355251260389100000e+13
1.347896536461362516e+01 1.368608504904811696e+01 8.419508341049913724e+04 3.788882210643800000e+13
1.368608504904811696e+01 1.389320473348260876e+01 5.165847096612261521e+04 6.105985923353100000e+13
1.389320473348260876e+01 1.410032441791710234e+01 3.042660237518536451e+04 9.795985469152900000e+13
1.410032441791710234e+01 1.430744410235159592e+01 1.711874443241826157e+04 1.577069975943200000e+14
1.430744410235159592e+01 1.451456378678608772e+01 8.923490030411263433e+03 2.530757308297720000e+14
1.451456378678608772e+01 1.472168347122057952e+01 4.302625592593138208e+03 4.057822180801490000e+14
1.472168347122057952e+01 1.492880315565507310e+01 1.748237062103641847e+03 6.472192091690540000e+14
1.492880315565507310e+01 1.513592284008956668e+01 5.657893979049188147e+02 1.023956141592920000e+15
1.513592284008956668e+01 1.534304252452405848e+01 1.461519243351687010e+02 1.649948630136986000e+15
1.534304252452405848e+01 1.555016220895855028e+01 2.502003666181974495e+01 2.518284000000000000e+15
1.555016220895855028e+01 1.575728189339304386e+01 2.001212739041301703e+00 3.956850000000000000e+15
