# logM_lo logM_hi N Mave
1.287054966279680102e+01 1.307702217965696079e+01 2.411090351207641652e+05 9.297632006369000000e+12
1.307702217965696079e+01 1.328349469651712056e+01 1.381866990115318331e+05 1.495545838990500000e+13
1.328349469651712056e+01 1.348996721337728033e+01 7.665295709552071639e+04 2.401485903188600000e+13
1.348996721337728033e+01 1.369643973023744010e+01 3.981017051299964805e+04 3.849693585902100000e+13
1.369643973023744010e+01 1.390291224709759987e+01 1.949876800653506871e+04 6.169906798676400000e+13
1.390291224709759987e+01 1.410938476395775965e+01 8.476008418332698056e+03 9.869401115727000000e+13
1.410938476395775965e+01 1.431585728081792119e+01 3.156210854329277936e+03 1.579495862507950000e+14
1.431585728081792119e+01 1.452232979767808096e+01 9.391947019509238999e+02 2.488022863247860000e+14
1.452232979767808096e+01 1.472880231453824074e+01 2.065263014070758345e+02 3.973398058252420000e+14
1.472880231453824074e+01 1.493527483139840051e+01 3.807330240427425849e+01 6.259055263157890000e+14
1.493527483139840051e+01 1.514174734825856028e+01 1.001362175161638612e+00 1.099100000000000000e+15
