# logM_lo logM_hi N Mave
1.280863748054382256e+01 1.301820560651663072e+01 2.399057421345557668e+05 8.090502454293000000e+12
1.301820560651663072e+01 1.322777373248944066e+01 1.409403272808089969e+05 1.309576681979200000e+13
1.322777373248944066e+01 1.343734185846224882e+01 7.958888271335704485e+04 2.118940216011700000e+13
1.343734185846224882e+01 1.364690998443505876e+01 4.263626174036652083e+04 3.430570155633700000e+13
1.364690998443505876e+01 1.385647811040786692e+01 2.144143888071434412e+04 5.542300060918400000e+13
1.385647811040786692e+01 1.406604623638067508e+01 9.939480944930335681e+03 8.905462289290300000e+13
1.406604623638067508e+01 1.427561436235348502e+01 4.028053481777457819e+03 1.439055511321220000e+14
1.427561436235348502e+01 1.448518248832629318e+01 1.409182138286136706e+03 2.320439232409380000e+14
1.448518248832629318e+01 1.469475061429910312e+01 3.844113051467653577e+02 3.727665104166660000e+14
1.469475061429910312e+01 1.490431874027191128e+01 9.106819677260033075e+01 5.890623076923070000e+14
1.490431874027191128e+01 1.511388686624471944e+01 9.004628808625952274e+00 9.543555555555550000e+14
