# logM_lo logM_hi N Mave
1.283073236972540521e+01 1.303919575123913432e+01 2.914010000000000000e+05 8.532227830378000000e+12
1.303919575123913432e+01 1.324765913275286522e+01 1.820510000000000000e+05 1.379052124953900000e+13
1.324765913275286522e+01 1.345612251426659434e+01 1.110960000000000000e+05 2.225279721142000000e+13
1.345612251426659434e+01 1.366458589578032345e+01 6.631900000000000000e+04 3.590334020416400000e+13
1.366458589578032345e+01 1.387304927729405435e+01 3.779800000000000000e+04 5.786631472564600000e+13
1.387304927729405435e+01 1.408151265880778347e+01 2.024200000000000000e+04 9.339738706649500000e+13
1.408151265880778347e+01 1.428997604032151258e+01 1.017500000000000000e+04 1.503847872235870000e+14
1.428997604032151258e+01 1.449843942183524348e+01 4.501000000000000000e+03 2.420304621195290000e+14
1.449843942183524348e+01 1.470690280334897260e+01 1.802000000000000000e+03 3.872963540510540000e+14
1.470690280334897260e+01 1.491536618486270172e+01 5.780000000000000000e+02 6.224167993079580000e+14
1.491536618486270172e+01 1.512382956637643261e+01 1.480000000000000000e+02 9.969650675675670000e+14
1.512382956637643261e+01 1.533229294789016173e+01 2.000000000000000000e+01 1.517720000000000000e+15
1.533229294789016173e+01 1.554075632940389085e+01 4.000000000000000000e+00 2.840575000000000000e+15
1.554075632940389085e+01 1.574921971091762174e+01 1.000000000000000000e+00 4.010800000000000000e+15
