# logM_lo logM_hi N Mave
1.284155974321300420e+01 1.304948175605235328e+01 3.084904366396358819e+05 8.743632358832000000e+12
1.304948175605235328e+01 1.325740376889170413e+01 1.987857682363180502e+05 1.410832339862400000e+13
1.325740376889170413e+01 1.346532578173105321e+01 1.267796617820524407e+05 2.278983084075500000e+13
1.346532578173105321e+01 1.367324779457040407e+01 7.990989114140007587e+04 3.675541039197500000e+13
1.367324779457040407e+01 1.388116980740975315e+01 4.887883670736911154e+04 5.921049146250900000e+13
1.388116980740975315e+01 1.408909182024910223e+01 2.865296477137753755e+04 9.540686427468000000e+13
1.408909182024910223e+01 1.429701383308845308e+01 1.622622444524076127e+04 1.539387199009590000e+14
1.429701383308845308e+01 1.450493584592780216e+01 8.438647957502262216e+03 2.473203495422660000e+14
1.450493584592780216e+01 1.471285785876715302e+01 4.085999407540340599e+03 3.968731722276740000e+14
1.471285785876715302e+01 1.492077987160650210e+01 1.703118195684023704e+03 6.352185000000000000e+14
1.492077987160650210e+01 1.512870188444585295e+01 5.527602927667553558e+02 1.009892481884058000e+15
1.512870188444585295e+01 1.533662389728520203e+01 1.471524351143322917e+02 1.599072789115646000e+15
1.533662389728520203e+01 1.554454591012455111e+01 3.502682285650988092e+01 2.609522857142857000e+15
1.554454591012455111e+01 1.575246792296390197e+01 1.000609119232780175e+00 3.785500000000000000e+15
