# logM_lo logM_hi N Mave
1.284155974321300420e+01 1.304948175605235328e+01 2.400450000000000000e+05 8.713357288425000000e+12
1.304948175605235328e+01 1.325740376889170413e+01 1.423000000000000000e+05 1.405615813773700000e+13
1.325740376889170413e+01 1.346532578173105321e+01 8.181000000000000000e+04 2.267804446889100000e+13
1.346532578173105321e+01 1.367324779457040407e+01 4.496800000000000000e+04 3.649644089130000000e+13
1.367324779457040407e+01 1.388116980740975315e+01 2.301300000000000000e+04 5.881312584191500000e+13
1.388116980740975315e+01 1.408909182024910223e+01 1.087100000000000000e+04 9.455518609143500000e+13
1.408909182024910223e+01 1.429701383308845308e+01 4.346000000000000000e+03 1.512135872066260000e+14
1.429701383308845308e+01 1.450493584592780216e+01 1.578000000000000000e+03 2.419887262357410000e+14
1.450493584592780216e+01 1.471285785876715302e+01 4.690000000000000000e+02 3.835257142857140000e+14
1.471285785876715302e+01 1.492077987160650210e+01 7.600000000000000000e+01 6.133767105263150000e+14
1.492077987160650210e+01 1.512870188444585295e+01 1.500000000000000000e+01 9.606853333333330000e+14
1.512870188444585295e+01 1.533662389728520203e+01 2.000000000000000000e+00 1.589250000000000000e+15
