# logM_lo logM_hi N Mave
1.287381901574305942e+01 1.308012806495590574e+01 2.204280000000000000e+05 9.361186712214000000e+12
1.308012806495590574e+01 1.328643711416875384e+01 1.268530000000000000e+05 1.505131975593700000e+13
1.328643711416875384e+01 1.349274616338160016e+01 6.927300000000000000e+04 2.414762063141400000e+13
1.349274616338160016e+01 1.369905521259444825e+01 3.567600000000000000e+04 3.869892370220800000e+13
1.369905521259444825e+01 1.390536426180729457e+01 1.683000000000000000e+04 6.202978437314300000e+13
1.390536426180729457e+01 1.411167331102014089e+01 7.248000000000000000e+03 9.963743791390700000e+13
1.411167331102014089e+01 1.431798236023298898e+01 2.634000000000000000e+03 1.587266400911160000e+14
1.431798236023298898e+01 1.452429140944583530e+01 8.030000000000000000e+02 2.538000249066000000e+14
1.452429140944583530e+01 1.473060045865868339e+01 1.520000000000000000e+02 4.005842763157890000e+14
1.473060045865868339e+01 1.493690950787152971e+01 1.800000000000000000e+01 6.291588888888880000e+14
