# logM_lo logM_hi N Mave
1.290165247397829162e+01 1.310656985027937793e+01 2.982860976831655134e+05 9.992922851292000000e+12
1.310656985027937793e+01 1.331148722658046246e+01 1.847742184384332795e+05 1.601679505306200000e+13
1.331148722658046246e+01 1.351640460288154699e+01 1.110489274951508560e+05 2.564213499017700000e+13
1.351640460288154699e+01 1.372132197918263330e+01 6.498570966866151866e+04 4.102919862171900000e+13
1.372132197918263330e+01 1.392623935548371961e+01 3.627853133646491187e+04 6.561149798527100000e+13
1.392623935548371961e+01 1.413115673178480414e+01 1.874457038558572094e+04 1.048440590950560000e+14
1.413115673178480414e+01 1.433607410808588867e+01 8.881316403832352080e+03 1.674058013799340000e+14
1.433607410808588867e+01 1.454099148438697497e+01 3.715650556414999755e+03 2.668905130974880000e+14
1.454099148438697497e+01 1.474590886068806128e+01 1.317356118038239856e+03 4.270175266362250000e+14
1.474590886068806128e+01 1.495082623698914581e+01 3.667083050894742087e+02 6.688659289617480000e+14
1.495082623698914581e+01 1.515574361329023034e+01 7.711364912982023156e+01 1.036930519480519000e+15
1.515574361329023034e+01 1.536066098959131665e+01 1.101194668944344812e+01 1.703863636363636000e+15
1.536066098959131665e+01 1.556557836589240296e+01 2.001601561015611264e+00 2.790950000000000000e+15
