# logM_lo logM_hi N Mave
1.290165247397829162e+01 1.310656985027937793e+01 3.126629313684456283e+05 1.000111999836600000e+13
1.310656985027937793e+01 1.331148722658046246e+01 1.973638672995547240e+05 1.604422754059900000e+13
1.331148722658046246e+01 1.351640460288154699e+01 1.214864516360052075e+05 2.566580260794300000e+13
1.351640460288154699e+01 1.372132197918263330e+01 7.326282973242428852e+04 4.112465405658000000e+13
1.372132197918263330e+01 1.392623935548371961e+01 4.238823495632200502e+04 6.582860505914900000e+13
1.392623935548371961e+01 1.413115673178480414e+01 2.307727502844666378e+04 1.051700182616630000e+14
1.413115673178480414e+01 1.433607410808588867e+01 1.175065377003858157e+04 1.680464266825890000e+14
1.433607410808588867e+01 1.454099148438697497e+01 5.313685587886518988e+03 2.682009010367570000e+14
1.454099148438697497e+01 1.474590886068806128e+01 2.117404124979386779e+03 4.279482174940890000e+14
1.474590886068806128e+01 1.495082623698914581e+01 6.885477752161131093e+02 6.752950872093020000e+14
1.495082623698914581e+01 1.515574361329023034e+01 1.760982658661068285e+02 1.064165625000000000e+15
1.515574361329023034e+01 1.536066098959131665e+01 2.501004093336960565e+01 1.623260000000000000e+15
1.536066098959131665e+01 1.556557836589240296e+01 4.001105379701764164e+00 2.621600000000000000e+15
1.556557836589240296e+01 1.577049574219348749e+01 1.000168492489499572e+00 4.943800000000000000e+15
